Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
,-1052630.63,,,,,,,,,,,,,,
